,source,target,delta,month
103,1228209,1228215,"{'4': 0, '2': 0}",8
104,1228209,1228215,"{'4': 0, '2': 0}",9
105,1228209,1228215,"{'4': 0, '2': 0}",10
106,1228209,1228215,"{'4': 0, '2': 0}",11
107,1228209,1228215,"{'4': 0, '2': 0}",12
108,1228209,1228215,"{'4': 0, '2': 0}",13
109,1228209,1228215,"{'4': 0, '2': 0}",14
110,1228209,1228215,"{'4': 0, '2': 0}",15
111,1228209,1228215,"{'4': 0, '2': 0}",16
112,1228209,1228215,"{'4': 0, '2': 0}",17
113,1228209,1228215,"{'4': 0, '2': 0}",18
114,1228209,1228215,"{'4': 0, '2': 0}",19
115,1228209,1228215,"{'4': 0, '2': 0}",20
116,1228209,1228215,"{'4': 0, '2': 0}",21
117,1228209,1228215,"{'4': 0, '2': 0}",22
118,1228209,1228215,"{'4': 0, '2': 0}",23
119,1228209,1228215,"{'4': 0, '2': 0}",24
120,1228209,1228216,"{'4': 0, '2': 0}",1
121,1228209,1228216,"{'4': 0, '2': 0}",2
122,1228209,1228216,"{'4': 0, '2': 0}",3
123,1228209,1228216,"{'4': 0, '2': 0}",4
124,1228209,1228216,"{'4': 0, '2': 0}",5
125,1228209,1228216,"{'4': 0, '2': 0}",6
126,1228209,1228216,"{'4': 0, '2': 0}",7
127,1228209,1228216,"{'4': 0, '2': 0}",8
128,1228209,1228216,"{'4': 0, '2': 0}",9
129,1228209,1228216,"{'4': 0, '2': 0}",10
130,1228209,1228216,"{'4': 0, '2': 0}",11
131,1228209,1228216,"{'4': 0, '2': 0}",12
132,1228209,1228216,"{'4': 0, '2': 0}",13
133,1228209,1228216,"{'4': 0, '2': 0}",14
134,1228209,1228216,"{'4': 0, '2': 0}",15
135,1228209,1228216,"{'4': 0, '2': 0}",16
136,1228209,1228216,"{'4': 0, '2': 0}",17
137,1228209,1228216,"{'4': 0, '2': 0}",18
138,1228209,1228216,"{'4': 0, '2': 0}",19
139,1228209,1228216,"{'4': 0, '2': 0}",20
140,1228209,1228216,"{'4': 0, '2': 0}",21
141,1228209,1228216,"{'4': 0, '2': 0}",22
142,1228209,1228216,"{'4': 0, '2': 0}",23
143,1228209,1228216,"{'4': 0, '2': 0}",24
144,1228209,1228218,"{'4': 0, '2': 0}",1
145,1228209,1228218,"{'4': 0, '2': 0}",2
146,1228209,1228218,"{'4': 0, '2': 0}",11
147,1228209,1228218,"{'4': 0, '2': 0}",12
148,1228209,1228218,"{'4': 0, '2': 0}",13
149,1228209,1228218,"{'4': 0, '2': 0}",14
150,1228209,1228218,"{'4': 0, '2': 0}",23
151,1228209,1228218,"{'4': 0, '2': 0}",24
152,1228209,1228219,"{'4': 5, '2': 3}",1
153,1228209,1228219,"{'4': 5, '2': 3}",2
154,1228209,1228219,"{'4': 5, '2': 3}",3
155,1228209,1228219,"{'4': 5, '2': 3}",4
156,1228209,1228219,"{'4': 5, '2': 3}",5
157,1228209,1228219,"{'4': 5, '2': 3}",6
158,1228209,1228219,"{'4': 5, '2': 3}",7
159,1228209,1228219,"{'4': 5, '2': 3}",8
160,1228209,1228219,"{'4': 5, '2': 3}",9
161,1228209,1228219,"{'4': 5, '2': 3}",10
162,1228209,1228219,"{'4': 5, '2': 3}",11
163,1228209,1228219,"{'4': 5, '2': 3}",12
164,1228209,1228219,"{'4': 5, '2': 3}",13
165,1228209,1228219,"{'4': 5, '2': 3}",14
166,1228209,1228219,"{'4': 5, '2': 3}",15
167,1228209,1228219,"{'4': 5, '2': 3}",16
168,1228209,1228219,"{'4': 5, '2': 3}",17
169,1228209,1228219,"{'4': 5, '2': 3}",18
170,1228209,1228219,"{'4': 5, '2': 3}",19
171,1228209,1228219,"{'4': 5, '2': 3}",20
172,1228209,1228219,"{'4': 4, '2': 3}",21
173,1228209,1228219,"{'4': 3, '2': 3}",22
174,1228209,1228219,"{'4': 2, '2': 2}",23
175,1228209,1228219,"{'4': 1, '2': 1}",24
176,1228209,1228221,"{'4': 0, '2': 0}",1
177,1228209,1228221,"{'4': 0, '2': 0}",2
178,1228209,1228221,"{'4': 0, '2': 0}",11
179,1228209,1228221,"{'4': 0, '2': 0}",12
180,1228209,1228221,"{'4': 0, '2': 0}",13
181,1228209,1228221,"{'4': 0, '2': 0}",14
182,1228209,1228221,"{'4': 0, '2': 0}",23
183,1228209,1228221,"{'4': 0, '2': 0}",24
184,1228217,1228213,"{'4': 0, '2': 0}",1
185,1228217,1228213,"{'4': 0, '2': 0}",2
186,1228217,1228213,"{'4': 0, '2': 0}",3
187,1228217,1228213,"{'4': 0, '2': 0}",4
188,1228217,1228213,"{'4': 0, '2': 0}",5
189,1228217,1228213,"{'4': 0, '2': 0}",6
190,1228217,1228213,"{'4': 0, '2': 0}",7
191,1228217,1228213,"{'4': 0, '2': 0}",8
192,1228217,1228213,"{'4': 0, '2': 0}",9
193,1228217,1228213,"{'4': 0, '2': 0}",10
194,1228217,1228213,"{'4': 0, '2': 0}",11
195,1228217,1228213,"{'4': 0, '2': 0}",12
196,1228217,1228213,"{'4': 0, '2': 0}",13
197,1228217,1228213,"{'4': 0, '2': 0}",14
198,1228217,1228213,"{'4': 0, '2': 0}",15
199,1228217,1228213,"{'4': 0, '2': 0}",16
200,1228217,1228213,"{'4': 0, '2': 0}",17
201,1228217,1228213,"{'4': 0, '2': 0}",18
202,1228217,1228213,"{'4': 0, '2': 0}",19
203,1228217,1228213,"{'4': 0, '2': 0}",20
204,1228217,1228213,"{'4': 0, '2': 0}",21
205,1228217,1228213,"{'4': 0, '2': 0}",22
206,1228217,1228213,"{'4': 0, '2': 0}",23
207,1228217,1228213,"{'4': 0, '2': 0}",24
208,1228214,1228221,"{'4': 0, '2': 0}",1
209,1228214,1228221,"{'4': 0, '2': 0}",2
210,1228214,1228221,"{'4': 0, '2': 0}",3
211,1228214,1228221,"{'4': 0, '2': 0}",4
212,1228214,1228221,"{'4': 0, '2': 0}",5
213,1228214,1228221,"{'4': 0, '2': 0}",6
214,1228214,1228221,"{'4': 0, '2': 0}",7
215,1228214,1228221,"{'4': 0, '2': 0}",8
216,1228214,1228221,"{'4': 0, '2': 0}",9
217,1228214,1228221,"{'4': 0, '2': 0}",10
218,1228214,1228221,"{'4': 0, '2': 0}",11
219,1228214,1228221,"{'4': 0, '2': 0}",12
220,1228214,1228221,"{'4': 0, '2': 0}",13
221,1228214,1228221,"{'4': 0, '2': 0}",14
222,1228214,1228221,"{'4': 0, '2': 0}",15
223,1228214,1228221,"{'4': 0, '2': 0}",16
224,1228214,1228221,"{'4': 0, '2': 0}",17
225,1228214,1228221,"{'4': 0, '2': 0}",18
226,1228214,1228221,"{'4': 0, '2': 0}",19
227,1228214,1228221,"{'4': 0, '2': 0}",20
228,1228214,1228221,"{'4': 0, '2': 0}",21
229,1228214,1228221,"{'4': 0, '2': 0}",22
230,1228214,1228221,"{'4': 0, '2': 0}",23
231,1228214,1228221,"{'4': 0, '2': 0}",24
232,1228216,1228211,"{'4': 0, '2': 0}",1
233,1228216,1228211,"{'4': 0, '2': 0}",2
234,1228216,1228211,"{'4': 0, '2': 0}",3
235,1228216,1228211,"{'4': 0, '2': 0}",4
236,1228216,1228211,"{'4': 0, '2': 0}",5
237,1228216,1228211,"{'4': 0, '2': 0}",6
238,1228216,1228211,"{'4': 0, '2': 0}",7
239,1228216,1228211,"{'4': 0, '2': 0}",8
240,1228216,1228211,"{'4': 0, '2': 0}",9
241,1228216,1228211,"{'4': 0, '2': 0}",10
242,1228216,1228211,"{'4': 0, '2': 0}",11
243,1228216,1228211,"{'4': 0, '2': 0}",12
244,1228216,1228211,"{'4': 0, '2': 0}",13
245,1228216,1228211,"{'4': 0, '2': 0}",14
246,1228216,1228211,"{'4': 0, '2': 0}",15
247,1228216,1228211,"{'4': 0, '2': 0}",16
248,1228216,1228211,"{'4': 0, '2': 0}",17
249,1228216,1228211,"{'4': 0, '2': 0}",18
250,1228216,1228211,"{'4': 0, '2': 0}",19
251,1228216,1228211,"{'4': 0, '2': 0}",20
252,1228216,1228211,"{'4': 0, '2': 0}",21
253,1228216,1228211,"{'4': 0, '2': 0}",22
254,1228216,1228211,"{'4': 0, '2': 0}",23
255,1228216,1228211,"{'4': 0, '2': 0}",24
256,1228219,1228209,"{'4': 4, '2': 2}",1
257,1228219,1228209,"{'4': 4, '2': 2}",2
258,1228219,1228209,"{'4': 4, '2': 2}",3
259,1228219,1228209,"{'4': 4, '2': 2}",4
260,1228219,1228209,"{'4': 4, '2': 2}",5
261,1228219,1228209,"{'4': 4, '2': 2}",6
262,1228219,1228209,"{'4': 4, '2': 2}",7
263,1228219,1228209,"{'4': 4, '2': 2}",8
264,1228219,1228209,"{'4': 4, '2': 2}",9
265,1228219,1228209,"{'4': 4, '2': 2}",10
266,1228219,1228209,"{'4': 4, '2': 2}",11
267,1228219,1228209,"{'4': 4, '2': 2}",12
268,1228219,1228209,"{'4': 4, '2': 2}",13
269,1228219,1228209,"{'4': 4, '2': 2}",14
270,1228219,1228209,"{'4': 4, '2': 2}",15
271,1228219,1228209,"{'4': 4, '2': 2}",16
272,1228219,1228209,"{'4': 4, '2': 2}",17
273,1228219,1228209,"{'4': 4, '2': 2}",18
274,1228219,1228209,"{'4': 4, '2': 2}",19
275,1228219,1228209,"{'4': 4, '2': 2}",20
276,1228219,1228209,"{'4': 3, '2': 2}",21
277,1228219,1228209,"{'4': 2, '2': 2}",22
278,1228219,1228209,"{'4': 1, '2': 1}",23
279,1228219,1228209,"{'4': 0, '2': 0}",24
280,1228219,1228210,"{'4': 0, '2': 0}",1
281,1228219,1228210,"{'4': 0, '2': 0}",2
282,1228219,1228210,"{'4': 0, '2': 0}",3
283,1228219,1228210,"{'4': 0, '2': 0}",4
284,1228219,1228210,"{'4': 0, '2': 0}",5
285,1228219,1228210,"{'4': 0, '2': 0}",6
286,1228219,1228210,"{'4': 0, '2': 0}",7
287,1228219,1228210,"{'4': 0, '2': 0}",8
288,1228219,1228210,"{'4': 0, '2': 0}",9
289,1228219,1228210,"{'4': 0, '2': 0}",10
290,1228219,1228210,"{'4': 0, '2': 0}",11
291,1228219,1228210,"{'4': 0, '2': 0}",12
292,1228219,1228210,"{'4': 0, '2': 0}",13
293,1228219,1228210,"{'4': 0, '2': 0}",14
294,1228219,1228210,"{'4': 0, '2': 0}",15
295,1228219,1228210,"{'4': 0, '2': 0}",16
296,1228219,1228210,"{'4': 0, '2': 0}",17
297,1228219,1228210,"{'4': 0, '2': 0}",18
298,1228219,1228210,"{'4': 0, '2': 0}",19
299,1228219,1228210,"{'4': 0, '2': 0}",20
300,1228219,1228210,"{'4': 0, '2': 0}",21
301,1228219,1228210,"{'4': 0, '2': 0}",22
302,1228219,1228210,"{'4': 0, '2': 0}",23
303,1228219,1228210,"{'4': 0, '2': 0}",24
304,1228219,1228212,"{'4': 0, '2': 0}",1
305,1228219,1228212,"{'4': 0, '2': 0}",2
306,1228219,1228212,"{'4': 0, '2': 0}",3
307,1228219,1228212,"{'4': 0, '2': 0}",4
308,1228219,1228212,"{'4': 0, '2': 0}",5
309,1228219,1228212,"{'4': 0, '2': 0}",6
310,1228219,1228212,"{'4': 0, '2': 0}",7
311,1228219,1228212,"{'4': 0, '2': 0}",8
312,1228219,1228212,"{'4': 0, '2': 0}",9
313,1228219,1228212,"{'4': 0, '2': 0}",10
314,1228219,1228212,"{'4': 0, '2': 0}",11
315,1228219,1228212,"{'4': 0, '2': 0}",12
316,1228219,1228212,"{'4': 0, '2': 0}",13
317,1228219,1228212,"{'4': 0, '2': 0}",14
318,1228219,1228212,"{'4': 0, '2': 0}",15
319,1228219,1228212,"{'4': 0, '2': 0}",16
320,1228219,1228212,"{'4': 0, '2': 0}",17
321,1228219,1228212,"{'4': 0, '2': 0}",18
322,1228219,1228212,"{'4': 0, '2': 0}",19
323,1228219,1228212,"{'4': 0, '2': 0}",20
324,1228219,1228212,"{'4': 0, '2': 0}",21
325,1228219,1228212,"{'4': 0, '2': 0}",22
326,1228219,1228212,"{'4': 0, '2': 0}",23
327,1228219,1228212,"{'4': 0, '2': 0}",24
328,1228219,1228214,"{'4': 0, '2': 0}",1
329,1228219,1228214,"{'4': 0, '2': 0}",2
330,1228219,1228214,"{'4': 0, '2': 0}",3
331,1228219,1228214,"{'4': 0, '2': 0}",4
332,1228219,1228214,"{'4': 0, '2': 0}",5
333,1228219,1228214,"{'4': 0, '2': 0}",6
334,1228219,1228214,"{'4': 0, '2': 0}",7
335,1228219,1228214,"{'4': 0, '2': 0}",8
336,1228219,1228214,"{'4': 0, '2': 0}",9
337,1228219,1228214,"{'4': 0, '2': 0}",10
338,1228219,1228214,"{'4': 0, '2': 0}",11
339,1228219,1228214,"{'4': 0, '2': 0}",12
340,1228219,1228214,"{'4': 0, '2': 0}",13
341,1228219,1228214,"{'4': 0, '2': 0}",14
342,1228219,1228214,"{'4': 0, '2': 0}",15
343,1228219,1228214,"{'4': 0, '2': 0}",16
344,1228219,1228214,"{'4': 0, '2': 0}",17
345,1228219,1228214,"{'4': 0, '2': 0}",18
346,1228219,1228214,"{'4': 0, '2': 0}",19
347,1228219,1228214,"{'4': 0, '2': 0}",20
348,1228219,1228214,"{'4': 0, '2': 0}",21
349,1228219,1228214,"{'4': 0, '2': 0}",22
350,1228219,1228214,"{'4': 0, '2': 0}",23
351,1228219,1228214,"{'4': 0, '2': 0}",24
352,1228219,1228215,"{'4': 0, '2': 0}",1
353,1228219,1228215,"{'4': 0, '2': 0}",2
354,1228219,1228215,"{'4': 0, '2': 0}",3
355,1228219,1228215,"{'4': 0, '2': 0}",4
356,1228219,1228215,"{'4': 0, '2': 0}",5
357,1228219,1228215,"{'4': 0, '2': 0}",6
358,1228219,1228215,"{'4': 0, '2': 0}",7
359,1228219,1228215,"{'4': 0, '2': 0}",8
360,1228219,1228215,"{'4': 0, '2': 0}",9
361,1228219,1228215,"{'4': 0, '2': 0}",10
362,1228219,1228215,"{'4': 0, '2': 0}",11
363,1228219,1228215,"{'4': 0, '2': 0}",12
364,1228219,1228215,"{'4': 0, '2': 0}",13
365,1228219,1228215,"{'4': 0, '2': 0}",14
366,1228219,1228215,"{'4': 0, '2': 0}",15
367,1228219,1228215,"{'4': 0, '2': 0}",16
368,1228219,1228215,"{'4': 0, '2': 0}",17
369,1228219,1228215,"{'4': 0, '2': 0}",18
370,1228219,1228215,"{'4': 0, '2': 0}",19
371,1228219,1228215,"{'4': 0, '2': 0}",20
372,1228219,1228215,"{'4': 0, '2': 0}",21
373,1228219,1228215,"{'4': 0, '2': 0}",22
374,1228219,1228215,"{'4': 0, '2': 0}",23
375,1228219,1228215,"{'4': 0, '2': 0}",24
376,1228219,1228216,"{'4': 0, '2': 0}",1
377,1228219,1228216,"{'4': 0, '2': 0}",2
378,1228219,1228216,"{'4': 0, '2': 0}",3
379,1228219,1228216,"{'4': 0, '2': 0}",4
380,1228219,1228216,"{'4': 0, '2': 0}",5
381,1228219,1228216,"{'4': 0, '2': 0}",6
382,1228219,1228216,"{'4': 0, '2': 0}",7
383,1228219,1228216,"{'4': 0, '2': 0}",8
384,1228219,1228216,"{'4': 0, '2': 0}",9
385,1228219,1228216,"{'4': 0, '2': 0}",10
386,1228219,1228216,"{'4': 0, '2': 0}",11
387,1228219,1228216,"{'4': 0, '2': 0}",12
388,1228219,1228216,"{'4': 0, '2': 0}",13
389,1228219,1228216,"{'4': 0, '2': 0}",14
390,1228219,1228216,"{'4': 0, '2': 0}",15
391,1228219,1228216,"{'4': 0, '2': 0}",16
392,1228219,1228216,"{'4': 0, '2': 0}",17
393,1228219,1228216,"{'4': 0, '2': 0}",18
394,1228219,1228216,"{'4': 0, '2': 0}",19
395,1228219,1228216,"{'4': 0, '2': 0}",20
396,1228219,1228216,"{'4': 0, '2': 0}",21
397,1228219,1228216,"{'4': 0, '2': 0}",22
398,1228219,1228216,"{'4': 0, '2': 0}",23
399,1228219,1228216,"{'4': 0, '2': 0}",24
400,1228219,1228218,"{'4': 0, '2': 0}",1
401,1228219,1228218,"{'4': 0, '2': 0}",2
402,1228219,1228218,"{'4': 0, '2': 0}",3
403,1228219,1228218,"{'4': 0, '2': 0}",4
404,1228219,1228218,"{'4': 0, '2': 0}",5
405,1228219,1228218,"{'4': 0, '2': 0}",6
406,1228219,1228218,"{'4': 0, '2': 0}",7
407,1228219,1228218,"{'4': 0, '2': 0}",8
408,1228219,1228218,"{'4': 0, '2': 0}",9
409,1228219,1228218,"{'4': 0, '2': 0}",10
410,1228219,1228218,"{'4': 0, '2': 0}",11
411,1228219,1228218,"{'4': 0, '2': 0}",12
412,1228219,1228218,"{'4': 0, '2': 0}",13
413,1228219,1228218,"{'4': 0, '2': 0}",14
414,1228219,1228218,"{'4': 0, '2': 0}",15
415,1228219,1228218,"{'4': 0, '2': 0}",16
416,1228219,1228218,"{'4': 0, '2': 0}",17
417,1228219,1228218,"{'4': 0, '2': 0}",18
418,1228219,1228218,"{'4': 0, '2': 0}",19
419,1228219,1228218,"{'4': 0, '2': 0}",20
420,1228219,1228218,"{'4': 0, '2': 0}",21
421,1228219,1228218,"{'4': 0, '2': 0}",22
422,1228219,1228218,"{'4': 0, '2': 0}",23
423,1228219,1228218,"{'4': 0, '2': 0}",24
424,1228220,1228209,"{'4': 0, '2': 0}",1
425,1228220,1228209,"{'4': 0, '2': 0}",2
426,1228220,1228209,"{'4': 0, '2': 0}",3
427,1228220,1228209,"{'4': 0, '2': 0}",4
428,1228220,1228209,"{'4': 0, '2': 0}",5
429,1228220,1228209,"{'4': 0, '2': 0}",6
430,1228220,1228209,"{'4': 0, '2': 0}",7
431,1228220,1228209,"{'4': 0, '2': 0}",8
432,1228220,1228209,"{'4': 0, '2': 0}",9
433,1228220,1228209,"{'4': 0, '2': 0}",10
434,1228220,1228209,"{'4': 0, '2': 0}",11
435,1228220,1228209,"{'4': 0, '2': 0}",12
436,1228220,1228209,"{'4': 0, '2': 0}",13
437,1228220,1228209,"{'4': 0, '2': 0}",14
438,1228220,1228209,"{'4': 0, '2': 0}",15
439,1228220,1228209,"{'4': 0, '2': 0}",16
440,1228220,1228209,"{'4': 0, '2': 0}",17
441,1228220,1228209,"{'4': 0, '2': 0}",18
442,1228220,1228209,"{'4': 0, '2': 0}",19
443,1228220,1228209,"{'4': 0, '2': 0}",20
444,1228220,1228209,"{'4': 0, '2': 0}",21
445,1228220,1228209,"{'4': 0, '2': 0}",22
446,1228220,1228209,"{'4': 0, '2': 0}",23
447,1228220,1228209,"{'4': 0, '2': 0}",24
448,1228220,1228210,"{'4': 0, '2': 0}",1
449,1228220,1228210,"{'4': 0, '2': 0}",2
450,1228220,1228210,"{'4': 0, '2': 0}",3
451,1228220,1228210,"{'4': 0, '2': 0}",4
452,1228220,1228210,"{'4': 0, '2': 0}",5
453,1228220,1228210,"{'4': 0, '2': 0}",6
454,1228220,1228210,"{'4': 0, '2': 0}",7
455,1228220,1228210,"{'4': 0, '2': 0}",8
456,1228220,1228210,"{'4': 0, '2': 0}",9
457,1228220,1228210,"{'4': 0, '2': 0}",10
458,1228220,1228210,"{'4': 0, '2': 0}",11
459,1228220,1228210,"{'4': 0, '2': 0}",12
460,1228220,1228210,"{'4': 0, '2': 0}",13
461,1228220,1228210,"{'4': 0, '2': 0}",14
462,1228220,1228210,"{'4': 0, '2': 0}",15
463,1228220,1228210,"{'4': 0, '2': 0}",16
464,1228220,1228210,"{'4': 0, '2': 0}",17
465,1228220,1228210,"{'4': 0, '2': 0}",18
466,1228220,1228210,"{'4': 0, '2': 0}",19
467,1228220,1228210,"{'4': 0, '2': 0}",20
468,1228220,1228210,"{'4': 0, '2': 0}",21
469,1228220,1228210,"{'4': 0, '2': 0}",22
470,1228220,1228210,"{'4': 0, '2': 0}",23
471,1228220,1228210,"{'4': 0, '2': 0}",24
472,1228220,1228212,"{'4': 0, '2': 0}",1
473,1228220,1228212,"{'4': 0, '2': 0}",2
474,1228220,1228212,"{'4': 0, '2': 0}",3
475,1228220,1228212,"{'4': 0, '2': 0}",4
476,1228220,1228212,"{'4': 0, '2': 0}",5
477,1228220,1228212,"{'4': 0, '2': 0}",6
478,1228220,1228212,"{'4': 0, '2': 0}",7
479,1228220,1228212,"{'4': 0, '2': 0}",8
480,1228220,1228212,"{'4': 0, '2': 0}",9
481,1228220,1228212,"{'4': 0, '2': 0}",10
482,1228220,1228212,"{'4': 0, '2': 0}",11
483,1228220,1228212,"{'4': 0, '2': 0}",12
484,1228220,1228212,"{'4': 0, '2': 0}",13
485,1228220,1228212,"{'4': 0, '2': 0}",14
486,1228220,1228212,"{'4': 0, '2': 0}",15
487,1228220,1228212,"{'4': 0, '2': 0}",16
488,1228220,1228212,"{'4': 0, '2': 0}",17
489,1228220,1228212,"{'4': 0, '2': 0}",18
490,1228220,1228212,"{'4': 0, '2': 0}",19
491,1228220,1228212,"{'4': 0, '2': 0}",20
492,1228220,1228212,"{'4': 0, '2': 0}",21
493,1228220,1228212,"{'4': 0, '2': 0}",22
494,1228220,1228212,"{'4': 0, '2': 0}",23
495,1228220,1228212,"{'4': 0, '2': 0}",24
496,1228220,1228214,"{'4': 0, '2': 0}",1
497,1228220,1228214,"{'4': 0, '2': 0}",2
498,1228220,1228214,"{'4': 0, '2': 0}",3
499,1228220,1228214,"{'4': 0, '2': 0}",4
500,1228220,1228214,"{'4': 0, '2': 0}",5
501,1228220,1228214,"{'4': 0, '2': 0}",6
502,1228220,1228214,"{'4': 0, '2': 0}",7
503,1228220,1228214,"{'4': 0, '2': 0}",8
504,1228220,1228214,"{'4': 0, '2': 0}",9
505,1228220,1228214,"{'4': 0, '2': 0}",10
506,1228220,1228214,"{'4': 0, '2': 0}",11
507,1228220,1228214,"{'4': 0, '2': 0}",12
508,1228220,1228214,"{'4': 0, '2': 0}",13
509,1228220,1228214,"{'4': 0, '2': 0}",14
510,1228220,1228214,"{'4': 0, '2': 0}",15
511,1228220,1228214,"{'4': 0, '2': 0}",16
512,1228220,1228214,"{'4': 0, '2': 0}",17
513,1228220,1228214,"{'4': 0, '2': 0}",18
514,1228220,1228214,"{'4': 0, '2': 0}",19
515,1228220,1228214,"{'4': 0, '2': 0}",20
516,1228220,1228214,"{'4': 0, '2': 0}",21
